name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
DISCO,"Houston, TX, USA",1900,Practice Management - Discovery,,csdisco.com,,,http://www.crunchbase.com/organization/avvo,,,
DivorceMate Software,"Toronto, ON, Canada",2015,Document Automation,Software for family lawyers,https://www.divorcemate.com/home/,https://twitter.com/DivorceMate,,,Legal Tech,Companies,"Family Law, Forms, Document Automation, Precedents"
doAgree,Wellington,2013,Document Automation - Mobile,Instant agreements. Anytime. Anyplace.,http://www.doagree.com,https://twitter.com/doagree,https://angel.co/doagree,n/a,Legal Tech,Companies,"documents, contracts, mobile, app"
"Docasaurus, Inc.","San Francisco, CA, USA",2015,Document Automation,Docasaurus lets lawyers automate their legal documents so they spend less time drafting and less time in Microsoft Word,http://www.docasaurus.com/,,,,,,
Docket Alarm,"New York, NY, USA",2012,Legal Research - Docket retrieval,Search and track federal court dockets,https://www.docketalarm.com/,n/a,https://angel.co/docket-alarm,http://www.crunchbase.com/organization/docket-alarm,Legal Service Using Tech,Service Providers,research
DocketHero,"Gainesville, FL, USA",2013,Marketplace,A B2B Marketplace for Law Firms.,http://signup.dockethero.com/,https://twitter.com/DocketHero,n/a,n/a,Legal Service Using Tech,Service Providers,"recruiting, referrals"
DocNav,"New York, NY, USA",2014,Document Automation,"DocNav is a New York City-based startup that is taking the brain damage out of complex legal documents by making them smarter, interactive, and responsive.",docnavapp.com,,,,,,
Docracy,"New York, NY, USA",2011,Document Automation,The web_‰Û__s only open collection of legal contracts and the best way to negotiate and sign documents online.,https://www.docracy.com/,https://twitter.com/Docracy,https://angel.co/docracy,http://www.crunchbase.com/organization/docracy,Legal Tech,Service Providers,"documents, contracts, signing"
Document Technologies Inc,"Fremont, CA, USA",1998,Document Automation,"Document Technologies, Inc. is a United States-based provider of litigation, discovery and managed support services for the legal and corporate markets in the United States. Its services include discovery and review services, management services, knowledge solutions, and printing and production services. Discovery and review services include litigation readiness and legal hold consulting, data acquisition and forensics, ESI processing and hosting, managed document review, paper-based discovery services and LitWorks discovery training. The Knowledge Solutions platform is comprised of two main offerings: managed services and staffing and placement services. DTI offers a suite of printing and production services: color and black and white copies, oversize color and black and white copies, posters, brochures, pamphlets, banners, advertising and marketing materials, transparencies and custom tabs.",http://docucap.com/,,,https://www.crunchbase.com/organization/document-capture-technologies,,,
DraftLaw,"New York, NY, USA",2015,Document Automation,"DraftLaw is the online word processor for litigation attorneys. Litigators and their support staff spend thousands of hours every year formatting the appearance of their court papers, creating series of similar documents, and getting their papers finalized and on file.",draftlaw.com,,,,,,
